TLT	3	100	0
TMT	3	200	0
TNT	3	300	0
TPT	3	400	0

ULU	3	100	100
UMU	3	200	100
UNU	3	300	100
UPU	3	400	100

ULV	3	100	200
UMV	3	200	200
UNV	3	300	200
UPV	3	400	200

UNA	3	300	300


TQT	3	500	0	38	100
UQU	3	500	100	38	100
UQV	3	500	200	38	100


ULA	3	100	300
UMA	3	200	300
UPA	3	400	300
UQA	3	500	300	38	100

TKT	3	0	0	-38	100
UKU	3	0	100	-38	100
UKV	3	0	200	-38	100
UKA	3	0	300	-38	100

TTN	4	500	0	-38	100
UTP	4	500	100	-38	100
UTQ	4	500	200	-38	100
UTR	4	500	300	-38	100

TUN	4	600	0
UUP	4	600	100
UUQ	4	600	200
UUR	4	600	300

TVN	4	700	0
UVP	4	700	100
UVQ	4	700	200
UVR	4	700	300

TWN	4	800	0
UWP	4	800	100
UWQ	4	800	200
UWR	4	800	300

UKB	3	0	400	-38	100
UKC	3	0	500	-38	100
UKD	3	0	600	-38	100
UKE	3	0	700	-38	100
UKF	3	0	800	-38	100
UKG	3	0	900	-38	100

ULB	3	100	400
ULC	3	100	500
ULD	3	100	600
ULE	3	100	700
ULF	3	100	800
ULG	3	100	900

UMB	3	200	400
UMC	3	200	500
UMD	3	200	600
UME	3	200	700
UMF	3	200	800
UMG	3	200	900

UNB	3	300	400
UNC	3	300	500
UND	3	300	600
UNE	3	300	700
UNF	3	300	800
UNG	3	300	900

UPB	3	400	400
UPC	3	400	500
UPD	3	400	600
UPE	3	400	700
UPF	3	400	800
UPG	3	400	900

UQB	3	500	400	38	100
UQC	3	500	500	38	100
UQD	3	500	600	38	100
UQE	3	500	700	38	100
UQF	3	500	800	38	100
UQG	3	500	900	38	100

UTS	4	500	400	-38	100
UTT	4	500	500	-38	100
UTU	4	500	600	-38	100
UTV	4	500	700	-38	100
UTA	4	500	800	-38	100
UTB	4	500	900	-38	100

UUS	4	600	400
UUT	4	600	500
UUU	4	600	600
UUV	4	600	700
UUA	4	600	800
UUB	4	600	900

UVS	4	700	400
UVT	4	700	500
UVU	4	700	600
UVV	4	700	700
UVA	4	700	800
UVB	4	700	900

UWS	4	800	400
UWT	4	800	500
UWU	4	800	600
UWV	4	800	700
UWA	4	800	800
UWB	4	800	900

TFN	5	-100	0
UFP	5	-100	100
UFQ	5	-100	200
UFR	5	-100	300
UFS	5	-100	400
UFT	5	-100	500
UFU	5	-100	600
UFV	5	-100	700
UFA	5	-100	800
UFB	5	-100	900

TGN	5	0	0	38	100
UGP	5	0	100	38	100
UGQ	5	0	200	38	100
UGR	5	0	300	38	100
UGS	5	0	400	38	100
UGT	5	0	500	38	100
UGU	5	0	600	38	100
UGV	5	0	700	38	100
UGA	5	0	800	38	100
UGB	5	0	900	38	100
